analogy,name,in_support_of,submitter
"The document also references the analogy made in Baker v. Selden, where copyright in a book did not confer the right to exclude use of a bookkeeping system or associated ruled lines and headings, likening this to software interfaces as systems or methods of operation excluded from copyright protection.",20200113165654112_18-956 tsac International Business Machines Corp and Red Hat Inc,Petitioner,"International Business Machines Corp. and Red Hat, Inc."
"A film derived from a book contains significant new expression, but this does not excuse infringement if the film copies material from the book",20200219105952406_18-956_Amicus Brief in Support of Respondent,Respondent,"The Association of American Publishers, Inc."
"The analogy of Microsoft PowerPoint: If a student wants to use PowerPoint at home, under Google's merger theory, a developer could sell an exact copy of PowerPoint, arguing its function is to respond to known commands, which the brief argues is absurd",20200219105952406_18-956_Amicus Brief in Support of Respondent,Respondent,"The Association of American Publishers, Inc."
"Seinfeld trivia book analogy: The facts in Seinfeld episodes are created by the show's producers, so using them in a trivia book is not the same as using facts from a biography; similarly, Java code is created expression, not a fact",20200219105952406_18-956_Amicus Brief in Support of Respondent,Respondent,"The Association of American Publishers, Inc."
"The analogy of fans writing Seinfeld fan fiction: Fans use their knowledge of the show to create new stories, just as developers use their knowledge of Java to create new code, but the pre-existing expression is not necessary to the function of the new work",20200219105952406_18-956_Amicus Brief in Support of Respondent,Respondent,"The Association of American Publishers, Inc."
The analogy of 'avoiding the drudgery of working up something fresh' is used to argue that copyright law prohibits creators of derivative works from simply copying existing works for convenience,20200219105952406_18-956_Amicus Brief in Support of Respondent,Respondent,"The Association of American Publishers, Inc."
"Some courts have expanded the notion of 'transformative use,' case-by-case, in a game of telephone tag to include uses that traditionally would have required a license, resulting in a loss of important licensing income for creators and divesting them of a full return on their creative labors.",20200219112343394_18-956 Amici Curiae,Respondent,Ten Creators' Rights Organizations
The fair use pendulum has now swung too far away from its roots and purpose.,20200219112343394_18-956 Amici Curiae,Respondent,Ten Creators' Rights Organizations
The decision by the district court in the case at bar offers another example of the expansive application of fair use.,20200219112343394_18-956 Amici Curiae,Respondent,Ten Creators' Rights Organizations
"The judicially created sub-factor, which is not included in the statutory text of Section 107, has now come to dominate fair use analyses, even though the Court made clear that transformativeness is but one aspect that courts may consider and is not a requirement for a fair use finding.",20200219112343394_18-956 Amici Curiae,Respondent,Ten Creators' Rights Organizations
Selden’s book as a set of instructions for humans compared to computer code as instructions for computers (Baker v. Selden analogy),20200218154154863_18-956 bsac Copyright Thought Leaders--PDFA,Respondent,Copyright Thought Leaders
"If thousands of lines of creative code are not copyrightable because they are a method of operation that produce a certain result, then how is sheet music anything more than a series of instructions designed to produce a particular resulting set of sounds?",20200218154154863_18-956 bsac Copyright Thought Leaders--PDFA,Respondent,Copyright Thought Leaders
"Maps and charts as methods of operation for navigation, and 'The Philadelphia Spelling Book' as a method of operation for teaching children, to illustrate the fallacy of denying copyright to functional works",20200218154154863_18-956 bsac Copyright Thought Leaders--PDFA,Respondent,Copyright Thought Leaders
"A novel as a collection of sentences and short phrases, to counter the short phrase doctrine argument",20200218154154863_18-956 bsac Copyright Thought Leaders--PDFA,Respondent,Copyright Thought Leaders
"The SEP (standard-essential patent) and FRAND (fair, reasonable, and non-discriminatory) licensing analogy from patent law to software copyright licensing",20200218154154863_18-956 bsac Copyright Thought Leaders--PDFA,Respondent,Copyright Thought Leaders
"The Microsoft Excel spreadsheet program is used as an analogy: Excel's functions and their structure are compared to the methods and declaring code in Java SE, illustrating how copying the selection and structure of functions in Excel would be analogous to copying Oracle's declaring code and organization in Java SE.",20200219113806333_18-956 Amici Curaie,Respondent,The Committee for Justice
"The analogy of tangible property (such as land) is used to argue that taking intellectual property without compensation should not be permissible, just as taking land would not be, regardless of potential technological or economic benefit.",20200219113806333_18-956 Amici Curaie,Respondent,The Committee for Justice
Commissioner Miller: So it is comparable to the theoretically infinite number of ways of writing Hamlet? McCracken: I believe so. It is not really true that there is a very restrictive way to write a program [which might make it] not copyrightable. I don’t believe that at all.,20200219120149951_18-956bsacProfessorAndFormerContuMemberArthurRMiller,Respondent,Professor and Former CONTU Member Arthur R. Miller
"The brief compares the argument for standardization (removing copyright protection from popular works) to the idea that works like Steinbeck’s Grapes of Wrath or Hemingway’s The Sun Also Rises would lose protection due to popularity, which is not taken seriously.",20200219120149951_18-956bsacProfessorAndFormerContuMemberArthurRMiller,Respondent,Professor and Former CONTU Member Arthur R. Miller
"The brief references the impossibility of line-drawing for a popularity exception, likening it to determining how popular a work must be before losing protection.",20200219120149951_18-956bsacProfessorAndFormerContuMemberArthurRMiller,Respondent,Professor and Former CONTU Member Arthur R. Miller
"The Java library is like a protectable taxonomy, a method of organizing 'over six thousand commands to carry out pre-assigned functions.'",20200219121543104_18-956 Brief,Respondent,"Synopsys, Inc."
"Conceptually, Google’s use of Oracle’s work is no different than converting a novel into a television series that builds on the novel’s plotlines.",20200219121543104_18-956 Brief,Respondent,"Synopsys, Inc."
"The show 'The Man in the High Castle' is used as an analogy for a derivative work, as it presents the themes, major plot points, and characters of Philip K. Dick’s novel in a new format, but is still derivative of the original.",20200219121543104_18-956 Brief,Respondent,"Synopsys, Inc."
"Consider a cookbook, for example, of 166 historic recipes, chosen and arranged from thousands of recipes that are in the public domain and are not themselves subject to copyright. The recipes are in some sense 'functional' because they explain the steps or methods necessary to prepare the dish. But if another author creates a follow-on cookbook that copies exactly the 'creative selection and arrangement' of the first 37 recipes in the original work, the second comer has infringed the copyright in the first book, which the original author earned by his or her particular selection and arrangement of those recipes.",20200219122526620_2020-02-19 No. 18-956 Oman amicus brief supporting respondent,Respondent,Ralph Oman
"The distinction between patent and copyright: patent gives the inventor 'an exclusive property' in the process itself, whereas copyright merely protects the particular expression or description of the process.",20200219122526620_2020-02-19 No. 18-956 Oman amicus brief supporting respondent,Respondent,Ralph Oman
"Much like an urban legend that changes upon each retelling, the doctrine has morphed to the point that, as one commentator laments, it 'has become all things to all people.'",20200219123129032_18-956 Google v Oracle America Brief for Amicus Curiae in Support of Respondent,Respondent,News Media Alliance
"If this constituted a 'transformation' sufficient to result in a fair use, the mere act of (say) republishing otherwise protected online news content via a smart speaker could cloak a would-be infringer with fair use immunity, assuming other fair use elements balanced in its favor.",20200219123129032_18-956 Google v Oracle America Brief for Amicus Curiae in Support of Respondent,Respondent,News Media Alliance
"Taken to its logical extreme, Google’s position would render a motion picture adaptation of a novel a 'transformative' fair use due to the change of medium, when the law is quite clear that this is not a fair use, but an infringing derivative work.",20200219123129032_18-956 Google v Oracle America Brief for Amicus Curiae in Support of Respondent,Respondent,News Media Alliance
"This framework might be adequate for soft drinks, because drinking a Coke® does not require an understanding of its famously secret formula; shared use of a software interface, in contrast, often does necessitate such understanding.",20200219141338655_18-956.han.amicus.file,Respondent,USTELECOM – THE BROADBAND ASSOCIATION
"The movement of electrons through the wires and components of a computer is precisely that process over which copyright has no control. Thus, copyright leads to the result that anyone is free to make a computer carry out any unpatented process, but not to misappropriate another’s writing to do so.",20200219145736673_18-956 bsac Former Congressmen,Respondent,"Former Congressmen (Orrin G. Hatch, Dennis DeConcini, Robert Goodlatte)"
"Declaring code—which is human-readable and rendered in letters, numbers, and symbols—is perhaps even more readily classed as a 'Writing[]' than either a map or chart, both of which often incorporate significant pictorial elements. Furthermore, the maps and charts that have garnered copyright protection since 1790 are, like computer code, primarily functional rather than aesthetic, indicating that a work’s utilitarian nature has never been a bar to copyrightability.",20200219145736673_18-956 bsac Former Congressmen,Respondent,"Former Congressmen (Orrin G. Hatch, Dennis DeConcini, Robert Goodlatte)"
"Applying the concept of transformation to partially non-expressive works like software is like trying to put the proverbial square peg into a round hole: transformation, with its focus on new expression, meaning, or message, assumes an effect on human thought or emotion; in contrast, software, in significant part, operates independently of such human thought and emotion.",20200219134025258_18-956 Amicus Brief of Motion Picture Association Inc_,Respondent,"Motion Picture Association, Inc."
"By analogy, in the motion picture industry, a motion picture sequel is not a substitute for the original, yet an unauthorized sequel clearly results in actionable harm to the copyright holder even if the copyright holder has not yet begun to create the sequel.",20200219134025258_18-956 Amicus Brief of Motion Picture Association Inc_,Respondent,"Motion Picture Association, Inc."
"Locke's apple-picking analogy: When a person picks an apple from a wild apple tree, that apple becomes his property because it would not have been picked without his efforts.",20200219150220098_18-956 Consumers Research Amicus,Respondent,Consumers’ Research
"Releasing a pirated copy of Adobe Photoshop would unleash innovation just the same, but no one would consider that fair use.",20200219150220098_18-956 Consumers Research Amicus,Respondent,Consumers’ Research
"Saying that there is only one way to “declare” in Java SE is precisely as circular as saying there is only one way to portray love, tragedy, and kings in Shakespeare – it reflects the popularity of the form of expression, not the merger of the underlying idea and the expression.",20200219150509690_18-956 bsac Hudson-Final-PDFA,Respondent,Hudson Institute
"The creative naming descriptions and organization of Java SE, or analogous reference works, have become extremely and rightfully popular does not deprive such creative works of their protection. There are many ways to organize and code in Java, just like there are many ways to discuss different areas of the law, or to describe human relationships in literature.",20200219150509690_18-956 bsac Hudson-Final-PDFA,Respondent,Hudson Institute
"Designing APIs is analogous, for example, to the innumerable creative choices that an author makes in writing a story. The author must consider various narrative elements, such as the characters, locations, and plot points, and the relationships and specific details of each. She must also consider how to describe and arrange these elements into the sentences, paragraphs, chapters, and so forth to create not only the order and structure of the story, but how that story is expressed. Authoring most APIs requires similar decisions regarding the interactions an API facilitates, accessible functions, implementation details, and internal structures and relationships.",20200219142226187_18-956_Amici Curiae Brief in support of Respondent,Respondent,"Professor Eugene H. Spafford, Ph.D., Professor Zhi Ding, Ph.D., Professor Emeritus Lee A. Hollaar, Ph.D., Professor Adam Porter, Ph.D., and Mr. Peter Kent, BSC"
"User-friendly expression is difficult to achieve in any medium. Cf. Letter from Henry David Thoreau to Harrison Blake (Nov. 16, 1857), in The Correspondences of Thoreau 498 (Walter Harding & Carl Bode eds., 1958) ('[I]t will take a long while to make it short.'); William Strunk Jr. & E.B. White, The Elements of Style (4th ed. 1999) (advising to, e.g., '[u]se definite, specific, concrete language' and '[o]mit needless words').",20200219151815011_2020.02.19 SAS Institute Amicus Brief,Respondent,SAS Institute Inc.
Google was no freer to copy that code than a novelist is free to copy prose from another book.,20200219151815011_2020.02.19 SAS Institute Amicus Brief,Respondent,SAS Institute Inc.
"The declaring code is less like a file cabinet, and more like a detailed table of contents, with chapter and subchapter headings, and topic sentences that forms an integral part of a well-written book.",20200219153012820_Brief,Respondent,Scott McNealy
An elegantly-designed set of packages is a creative exercise that is apparent to everyday professional programmers—in the way that an English professor can recognize a unique arrangement of words as great poetry or an architect can see lines in a blueprint as an iconic silhouette in a city skyline.,20200219153012820_Brief,Respondent,Scott McNealy
"The brief compares the arbitrary creativity of Java APIs and the structure, sequence, and operation of the libraries of subprograms to the myriad of characters that comprise a Harry Potter novel, emphasizing their creative and non-functional nature.",20200219154322305_18-956 bsac Alliance of US Startups and Inventors for Jobs,Respondent,ALLIANCE of U.S. STARTUPS and INVENTORS for JOBS (“USIJ”)
"The process of selecting terminology and layout for the Java SE Library is likened to the way an author of a play invents character descriptions, names, quirky behavior, and defining scenes, highlighting the creative choices involved.",20200219154322305_18-956 bsac Alliance of US Startups and Inventors for Jobs,Respondent,ALLIANCE of U.S. STARTUPS and INVENTORS for JOBS (“USIJ”)
"adverse-possession-like system (describing Google's position as akin to adverse possession, where a competitor occupies a market before the original creator can do so)",20200219160726168_18-956 bsac Copyright Alliance,Respondent,Copyright Alliance
Alfred Eisenstaedt’s iconic photograph and its derivatives (used to illustrate that popularity or familiarity should not reduce copyright protection),20200219160726168_18-956 bsac Copyright Alliance,Respondent,Copyright Alliance
Apple developing its own API packages and programming language Swift instead of copying (used to illustrate the type of creativity copyright law is intended to promote),20200219160726168_18-956 bsac Copyright Alliance,Respondent,Copyright Alliance
Growth of digital music and Napster/iTunes (used to show how copyright law affects market development and incentives),20200219160726168_18-956 bsac Copyright Alliance,Respondent,Copyright Alliance
Lyric websites and Rap Genius (used to show how new markets for copyrighted works can develop and be monetized),20200219160726168_18-956 bsac Copyright Alliance,Respondent,Copyright Alliance
"A real-property dispute between neighbors over a fence line, where the threshold question is whether the plaintiff has a property interest at all, is used to illustrate the distinction between copyrightability and scope of protection",20200219162704277_18-956 DJF Amicus Brief,Respondent,Digital Justice Foundation
"The analogy of Julia Child's cookbook, where copying the structure and titles of recipes is compared to copying APIs, is used to clarify copyrightability versus infringement",20200219162704277_18-956 DJF Amicus Brief,Respondent,Digital Justice Foundation
The analogy of a rival cookbook author challenging the copyrightability of Julia Child’s cookbook because of its popularity is used to illustrate that familiarity does not negate copyrightability,20200219162704277_18-956 DJF Amicus Brief,Respondent,Digital Justice Foundation
"The analogy of an English speaker being told not to use English words, or speaking Mandarin to an English-only speaker, is used to explain the necessity of using specific API syntax when programming",20200219162704277_18-956 DJF Amicus Brief,Respondent,Digital Justice Foundation
"By analogy, the opening of Charles Dickens’ A Tale of Two Cities is nothing but a string of short phrases. Yet no one could contend that this portion of Dickens’ work is unworthy of copyright protection because it can be broken into those shorter constituent components.",20200219163650124_18-956bsacUnitedStates,Respondent,United States
"The analogy of MATLAB's 'tic/toc' and 'linspace' function signatures is used to illustrate creative choices in software expression: just as there are many ways to express the idea of measuring elapsed time or generating a range of numbers, there are many ways to write declaring code, and the specific expressions chosen (like 'tic/toc' or 'linspace') are creative works.",20200219164456266_18-956bsacMathWorks,Respondent,"The MathWorks, Inc."
"The analogy to published game rules in the CONTU Report: copyright protects the program (the writing), but not the ability of others to actually play the game (the process), just as copyright protects source code but not the underlying computer operations.",20200219164456266_18-956bsacMathWorks,Respondent,"The MathWorks, Inc."
"Software interfaces are the digital equivalent of an electrical outlet, a car’s steering wheel, and a QWERTY keyboard.",20200311194254554_18-956 rb,Petitioner,Google LLC
"That is like saying that, with only a noun and verb, one could write an English sentence. It would nonetheless choke expression to remove from the English language several thousand words and phrases that are the only way to explain important concepts.",20200311194254554_18-956 rb,Petitioner,Google LLC
The document uses the analogy of the trial judge's unique opportunity to consider evidence in the 'living courtroom context' versus appellate judges seeing only the 'cold paper record' to argue for deference to jury verdicts.,20200807133211961_Google Supplemental Letter Brief,Petitioner,"Google, LLC"
"The document references the continuum nature of each statutory fair use factor, rather than them being binary, to illustrate the fact-intensive, nuanced nature of fair use determinations.",20200807133211961_Google Supplemental Letter Brief,Petitioner,"Google, LLC"
"The document compares the fair use determination to other 'mixed questions of law and fact' that are typically resolved by juries, such as 'materiality' in false statement cases and whether a plaintiff is a 'seaman' under the Jones Act.",20200807133211961_Google Supplemental Letter Brief,Petitioner,"Google, LLC"
